line,source,inputRms,inputPeak,outputRms,outputPeak,raw
948922,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14242, sequence=14241, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948936,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38809, regionSamples=2048, queuedSampleValues=1921024, sourcePlaying=True"
948943,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948947,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14268, sequence=14267, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948961,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38904, regionSamples=2048, queuedSampleValues=1885184, sourcePlaying=True"
948968,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948972,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14295, sequence=14294, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948986,HL2SSMicrophoneClient,,,,,"test_microphone: packets=38999, regionSamples=2048, queuedSampleValues=1887744, sourcePlaying=True"
948993,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948997,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14322, sequence=14321, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949011,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39093, regionSamples=2048, queuedSampleValues=1888256, sourcePlaying=True"
949018,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949022,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14349, sequence=14348, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949036,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39187, regionSamples=2048, queuedSampleValues=1888768, sourcePlaying=True"
949043,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949047,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14377, sequence=14376, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949061,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39280, regionSamples=2048, queuedSampleValues=1887232, sourcePlaying=True"
949068,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949072,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14404, sequence=14403, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949086,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39375, regionSamples=2048, queuedSampleValues=1889792, sourcePlaying=True"
949093,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949097,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14432, sequence=14431, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949111,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39469, regionSamples=2048, queuedSampleValues=1890304, sourcePlaying=True"
949118,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949122,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14459, sequence=14458, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949136,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39563, regionSamples=2048, queuedSampleValues=1890816, sourcePlaying=True"
949143,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949147,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14487, sequence=14486, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949161,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39658, regionSamples=2048, queuedSampleValues=1893376, sourcePlaying=True"
949168,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949172,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14515, sequence=14514, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949186,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39753, regionSamples=2048, queuedSampleValues=1895936, sourcePlaying=True"
949193,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949197,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14543, sequence=14542, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949211,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39847, regionSamples=2048, queuedSampleValues=1896448, sourcePlaying=True"
949218,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949222,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14570, sequence=14569, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949236,HL2SSMicrophoneClient,,,,,"test_microphone: packets=39941, regionSamples=2048, queuedSampleValues=1896960, sourcePlaying=True"
949243,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949247,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14598, sequence=14597, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949261,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40036, regionSamples=2048, queuedSampleValues=1899520, sourcePlaying=True"
949268,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949272,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14625, sequence=14624, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949286,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40131, regionSamples=2048, queuedSampleValues=1902080, sourcePlaying=True"
949293,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949297,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14652, sequence=14651, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
